天数,股票代码,开盘价,最高价,最低价,收盘价,成交量
0,1089,12.6,12.6,12.2,12.2,770
0,1090,5.535,5.535,5.535,5.535,188
0,1091,2.0013,2.0013,1.9482,1.9482,203
0,1092,1.8094,1.8335,1.7852,1.7852,12456
0,1093,87.0199,87.6165,84.115,84.6627,10115
0,1094,13.95,13.95,13.95,13.95,0
0,1095,25.0776,25.5951,25.0776,25.5481,1084
0,1096,113.8101,114.8208,112.5972,112.5972,870
0,1097,9.25,9.25,9.1,9.2,3035
0,1098,263.3852,266.0655,244.4443,247.8394,4606
0,1099,27,27,26.8,26.8,150
0,1100,2.9,2.9,2.9,2.9,0
0,1101,66.23,66.59,64.12,64.44,45548
0,1102,19,20.5091,19,20.2636,2336
0,1103,134,134.5,128.6,128.95,16379
0,1104,21.8,21.9,21.33,21.4,5709
0,1105,19.63,19.63,19.63,19.63,0
0,1106,71.2773,71.2773,69.293,69.6819,34379
0,1107,22.6967,22.6967,22.4381,22.6967,1348
0,1108,16.3333,16.7333,16.3333,16.7333,990
0,1109,7.03,7.1,6.87,6.9,34912
0,1110,69.5034,69.5034,69.5034,69.5034,0
0,1111,19.1,19.31,18.81,19.31,165
0,1112,18.9251,19.2003,18.9251,19.2003,45
0,1113,7.6,7.6,7.6,7.6,0
0,1114,11.4317,11.521,11.4317,11.521,195
0,1115,1.74,1.74,1.69,1.71,4947
0,1116,6.3702,6.698,6.3702,6.698,0
0,1117,16.6705,16.6705,16.6705,16.6705,613
0,1118,23.24,23.6,23.01,23.01,23325
0,1119,3.8,3.8,3.8,3.8,0
0,1120,5.45,5.64,5.21,5.25,4274
0,1121,44.6042,45.4774,44.6042,45.023,1184
0,1122,1.3783,1.4752,1.3783,1.4429,3606
0,1123,14.98,15.05,14.83,14.86,127452
0,1124,6.5375,6.7575,6.5375,6.715,1556
0,1125,30.3,30.5,29.73,29.73,1685
0,1126,12.1795,12.8626,12.1795,12.8626,173
0,1127,7.25,7.25,7.25,7.25,0
0,1128,3.2528,3.4446,3.2528,3.4446,0
0,1129,59.9485,59.9685,59.9485,59.9685,100
0,1130,14.4239,14.4239,14.4239,14.4239,0
0,1131,13.35,13.35,13.3,13.3,0
0,1132,8.7584,8.7584,8.3642,8.3642,1530
0,1133,1.53,1.54,1.44,1.44,5284
0,1134,2.78,2.86,2.77,2.86,7835
0,1135,39.71,39.71,39.71,39.71,0
0,1136,34,34,33.99,33.99,1
0,1137,8.9891,8.9891,8.9891,8.9891,0
0,1138,5.2,5.2,5.05,5.11,4695
0,1139,7.26,7.27,7.21,7.27,247
0,1140,7.3351,7.3351,7.3351,7.3351,142
0,1141,3.21,3.24,3.21,3.24,167
0,1142,48.3333,49.0433,47.48,47.75,31428
0,1143,21.27,21.3,20.67,20.67,1513
0,1144,1.79,1.95,1.79,1.95,700
0,1145,8.777,8.777,8.777,8.777,0
0,1146,6,6,6,6,0
0,1147,25.29,25.99,24.2,24.3,6760
0,1148,17.1359,17.1359,17.0255,17.0255,29
0,1149,8.743,8.743,8.6624,8.6624,670
0,1150,6.75,6.75,6.695,6.7,1736
0,1151,2.25,2.3,2.25,2.26,5526
0,1152,192.6453,192.6453,182.0498,182.0498,34
0,1153,14.228,14.8833,14.228,14.6961,1714
0,1154,1.6,1.6,1.6,1.6,0
0,1155,0.041,0.041,0.04,0.041,4821
0,1156,7.9,8.25,7.9,8.25,1100
0,1157,9.77,9.94,9.77,9.94,60
0,1158,22.37,22.37,22.26,22.26,582
0,1159,2.6,2.69,2.6,2.65,9750
0,1160,36.6,36.84,35.91,35.93,9461
0,1161,0.6553,0.7621,0.6553,0.7621,112
0,1162,15.7,15.97,15.56,15.6,7266
0,1163,10.4417,10.6317,10.4417,10.57,5442
0,1164,10.1183,10.1183,9.9,10.1183,14670
0,1165,6.69,6.69,6.6,6.6,1600
0,1166,53,54.5,53,54.17,833
0,1167,18.6667,18.9333,18.5133,18.5133,4515
0,1168,1.74,1.8,1.74,1.78,3260
0,1169,23.39,23.78,22.5,22.55,5824
0,1170,9.1205,9.1205,9.1205,9.1205,0
0,1171,47.9274,49.5281,47.3318,47.3877,6614
0,1172,3.8268,4.0476,3.8268,3.9863,2324
0,1173,20.875,21.0592,20.4277,20.5943,11446
0,1174,2.3877,2.3877,2.3877,2.3877,0
0,1175,17.9432,18.18,17.4225,17.5171,27311
0,1176,7.7,7.8467,7.5,7.54,3936
0,1177,5.54,5.54,5.5,5.5,1000
0,1178,16.4,16.68,16.1,16.12,1600
0,1179,64.1,64.81,62.73,62.73,613
0,1180,17.2,17.45,17.2,17.2,5245
0,1181,17.7,17.7,17.4067,17.4067,1410
0,1182,8.99,9.35,8.99,9.19,2567
0,1183,14.36,14.59,14.36,14.53,5325
0,1184,21.65,22.04,21.65,22.04,892
0,1185,37.9,37.9,36.41,36.8,989
0,1186,5.15,5.65,5.15,5.65,0
0,1187,4.04,4.38,4.04,4.1,940
0,1188,26.6,26.6,26.6,26.6,7
0,1189,21.2948,21.7519,21.2948,21.7519,272
0,1190,8.4523,8.5377,8.4523,8.4523,1897
0,1191,2.7333,2.7333,2.6533,2.6533,750
0,1192,22.9,22.9,21.4,21.4,700
0,1193,9.5831,9.71,9.4732,9.4986,51457
0,1194,7.6903,7.6903,7.6903,7.6903,0
0,1195,42.5,42.5,42.5,42.5,165
0,1196,21.25,21.25,21.25,21.25,330
0,1197,17.5218,17.5218,16.7336,16.8624,19172
0,1198,98.9625,101.1457,98.9625,101.1457,282
0,1199,0.9431,0.9431,0.8645,0.9318,7118
0,1200,35.01,35.01,34.52,34.52,80
0,1201,38.35,38.72,37.9,38.02,1874
0,1202,10.11,12.5,10.11,12.45,900
0,1203,21,21.18,20.78,20.79,4700
0,1204,60.52,61.89,59.7,59.71,5133
0,1205,8.65,8.73,8.62,8.69,1448
0,1206,9.05,9.14,9.04,9.14,1635
0,1207,31.7,31.81,30.77,30.85,2660
0,1208,3.2513,3.2813,3.1513,3.1513,1967
0,1209,90.91,91.75,88.05,89.1,1968
0,1210,0.25,0.299,0.231,0.29,8549
0,1211,0.802,0.802,0.802,0.802,0
0,1212,10.3,10.3,10.3,10.3,2820
0,1213,25.8735,25.8735,24.4803,24.5799,3390
0,1214,20.4236,20.8628,20.4236,20.7256,4669
0,1215,14.6,14.6,14.6,14.6,0
0,1216,2.48,2.48,2.48,2.48,50
0,1217,18.4478,18.7302,18.4478,18.7302,106
0,1218,73.5,74.05,71.13,71.15,3695
0,1219,7.2904,7.3378,7.2144,7.3378,537
0,1220,1.135,1.135,1.135,1.135,0
0,1221,4.8639,4.8639,4.8639,4.8639,0
0,1222,10.35,10.35,10.35,10.35,200
0,1223,0.93,0.93,0.92,0.92,4046
0,1224,7.5513,7.7172,7.4222,7.4683,152093
0,1225,13.61,13.61,13.61,13.61,0
0,1226,3.5,3.5,3.5,3.5,0
0,1227,1.14,1.14,1.14,1.14,0
0,1228,23.3,24.42,23.3,24.2,4875
0,1229,4.22,4.22,4.22,4.22,0
0,1230,2.8935,2.97,2.8935,2.97,2850
0,1231,2.6,2.6,2.56,2.56,75
0,1232,9.15,9.15,9.15,9.15,0
0,1233,5.8549,5.8549,5.8549,5.8549,0
0,1234,10.1982,10.1982,9.6171,10.1982,2030
0,1235,2.76,2.82,2.76,2.82,5550
0,1236,13.13,13.44,13.13,13.44,200
0,1237,38.07,38.07,36.94,36.94,140
0,1238,1.7442,1.7542,1.7342,1.7342,4932
0,1239,40,40,40,40,0
0,1240,1.11,1.11,1.11,1.11,0
0,1241,22.5,22.5,22.5,22.5,0
0,1242,8.36,8.36,8.36,8.36,0
0,1243,5.31,5.31,5.31,5.31,0
0,1244,5.92,6.09,5.92,6,3691
0,1245,8.74,8.74,8.74,8.74,4926
0,1246,11.14,11.14,11.09,11.09,0
0,1247,5.15,5.15,5.15,5.15,0
0,1248,22.2065,22.8083,21.6861,21.8488,11150
0,1249,1.92,2.04,1.92,1.99,1064
0,1250,55.9,57.61,55.75,55.93,7139
0,1251,452.95,452.95,435,443.2,4400
0,1252,433.95,433.95,409.9,415.23,769
0,1253,1.1919,1.1919,1.101,1.1313,9471
0,1254,5.9,5.9,5.84,5.84,500
0,1255,25.6138,25.9398,25.2483,25.2483,1456
0,1256,4.2756,4.2756,4.2756,4.2756,0
0,1257,28.59,29.772,28.59,29.34,2095
0,1258,5.6,5.75,5.6,5.75,225
0,1259,45.635,45.665,45.635,45.635,515
0,1260,0.47,0.5,0.47,0.481,8354
0,1261,63.5,63.5,63.5,63.5,0
0,1262,899.9621,899.9621,899.9621,899.9621,0
0,1263,7.2,7.2,7.2,7.2,0
0,1264,33.32,33.9,32.98,33.16,1800
0,1265,1.7,1.86,1.7,1.86,0
0,1266,18.6,18.6,18.14,18.15,38467
0,1267,3.175,3.255,3.15,3.165,180630
0,1268,3.074,3.2276,3.074,3.17,169
0,1269,2.5,2.63,2.495,2.565,18838
0,1270,21.8661,22.454,21.8661,22.454,97
0,1271,2.2,2.31,2.2,2.3,3900
0,1272,0.123,0.175,0.123,0.162,598990
0,1273,5.6,5.6,5.13,5.2,1639
0,1274,33.65,34.31,33.2,33.2,2550
0,1275,95.2372,95.2372,95.2372,95.2372,0
0,1276,49,49,49,49,6
0,1277,3.34,3.51,3.34,3.51,1190
0,1278,153.9818,154.8457,148.1136,149.6628,1128
0,1279,9.4553,9.6543,9.4553,9.6543,0
0,1280,2.0416,2.0416,2.0416,2.0416,0
0,1281,1.19,1.19,1.19,1.19,0
0,1282,113,115.68,109.95,110.98,4290
0,1283,107.5,110,104.7,104.7,2361
0,1284,8,8,8,8,0
0,1285,10.3333,10.5167,10.3333,10.46,3882
0,1286,3.6881,3.6881,3.6881,3.6881,0
0,1287,21.6,22.48,21.4,21.64,1310
0,1288,18.5,19.36,18.5,18.86,4520
0,1289,2.8314,2.8314,2.7817,2.7817,2813
0,1290,57.5765,57.5765,57.5765,57.5765,0
0,1291,1.39,1.39,1.39,1.39,0
0,1292,1.87,1.87,1.87,1.87,232
0,1293,10.7,10.89,10.64,10.75,35027
0,1294,370,370,370,370,0
0,1295,16.0467,16.3133,15.9867,16,4311
0,1296,287.3296,293.8298,287.3296,289.6848,422
0,1297,10.5559,10.5559,8.7239,8.7239,2
0,1298,0.15,0.15,0.14,0.14,40
0,1299,44.15,44.55,43.625,43.74,5082
0,1300,4.1798,4.3888,4.0858,4.0858,22215
0,1301,6.05,6.05,6.05,6.05,0
0,1302,39.7,40.63,39.13,39.25,1687
0,1303,24.5,24.9,24.4,24.88,1230
0,1304,6.04,6.19,6.04,6.04,3422
0,1305,21.5,21.52,21.5,21.5,860
0,1306,132.7,133.36,132.28,132.5,6849
0,1307,31.5,32.25,31,31,1984
0,1308,5.85,5.93,5.8,5.93,3264
0,1309,19.4678,20.1731,19.4678,19.7969,1620
0,1310,4.32,4.32,4.32,4.32,0
0,1311,16.8,17.9229,16.8,17.2371,1454
0,1312,28.3041,28.7838,28.3041,28.4384,162
0,1313,72,72,72,72,0
0,1314,7.8,8.05,7.75,8.05,985
0,1315,26.95,27.22,26.45,26.5,20749
0,1316,31.45,33.34,31.45,31.9,31677
0,1317,1.8,1.8,1.785,1.785,4680
0,1318,41.4,42.37,40.82,41.57,616
0,1319,19.2,19.5,18.9,18.9,1349
0,1320,12.3491,12.3491,12.3491,12.3491,0
0,1321,0.97,0.97,0.97,0.97,140
0,1322,7.85,7.85,7.45,7.45,2867
0,1323,11.52,11.82,11.52,11.82,100
0,1324,45,45,43.35,43.35,44
0,1325,8.25,8.39,8.11,8.18,780
0,1326,22.04,22.04,22.04,22.04,0
0,1327,3,3.1,3,3.1,400
0,1328,15.07,15.2,14.98,15.2,2310
0,1329,20,20,19.85,19.85,836
0,1330,9.95,9.95,9.95,9.95,0
0,1331,1.99,2.06,1.99,2.06,100
0,1332,1,1.04,1,1.04,1000
0,1333,2.3839,2.6741,2.3839,2.5082,2566
0,1334,390,390,390,390,0
0,1335,13.46,13.86,13.46,13.86,700
0,1336,10.7,10.7,10.7,10.7,0
0,1337,418,419,418,419,12
0,1338,4.05,4.05,4.05,4.05,0
0,1339,3.6186,3.6186,3.6186,3.6186,0
0,1340,2.65,2.8,2.65,2.72,940
0,1341,1.7799,1.8406,1.7799,1.8146,10239
0,1342,127.2218,130.2253,124.6719,125.7265,10651
0,1343,2.9917,3.2288,2.9014,3.2006,42216
0,1344,9.8,9.8,9.8,9.8,0
0,1345,56.04,56.93,56.04,56.85,331
0,1346,9.18,9.6,9.18,9.41,2616
0,1347,165,165,165,165,50
0,1348,1.1977,1.1977,1.1977,1.1977,150
0,1349,1.65,1.65,1.65,1.65,2300
0,1350,3.2368,3.4834,3.2368,3.3395,51469
0,1351,25.1444,25.1444,25.1444,25.1444,0
0,1352,9.49,9.65,9.49,9.65,300
0,1353,5.8,5.8,5.66,5.79,1399
0,1354,16.35,16.59,15.92,16.59,3316
0,1355,27.1,27.541,27.1,27.4,870
0,1356,1.25,1.3,1.25,1.3,75
0,1357,34.4,34.7,34.4,34.7,0
0,1358,17.5,17.5,17.5,17.5,0
0,1359,1.5,1.5,1.5,1.5,0
0,1360,3.7705,3.8188,3.6254,3.6254,2027
0,1361,15.1096,15.39,15.0162,15.3069,5538
0,1362,13.59,14.01,13.59,14.01,180
0,1363,2.9,2.99,2.88,2.89,51519
0,1364,28.57,28.93,28.4,28.53,4714
0,1365,28.4,28.56,27.97,27.97,270
0,1366,143.69,143.69,140.64,142.12,250
0,1367,3.09,3.09,3.05,3.05,700
0,1368,10.6969,10.6969,10.6969,10.6969,0
0,1369,5,5,5,5,0
0,1370,19.7889,20.1479,19.7889,20.0098,3629
0,1371,53.7,54.83,50.13,50.43,2767
0,1372,72.78,73.04,70.5,70.55,7885
0,1373,3.36,3.36,3.36,3.36,0
0,1374,7.43,7.43,7.43,7.43,0
0,1375,33.6,33.6,33.34,33.6,100
0,1376,11.8,11.99,11.8,11.99,200
0,1377,336,342,336,336,33
0,1378,1.6,1.6,1.6,1.6,0
0,1379,1.3401,1.3401,1.3018,1.3018,28
0,1380,96.7965,97.0459,94.6609,95.0102,10161
0,1381,59.2195,60.0976,57.8537,58.3415,16327
0,1382,10.07,10.07,9.82,10.07,2876
0,1383,52.4003,52.4003,52.4003,52.4003,0
0,1384,1.5805,1.5805,1.5805,1.5805,0
0,1385,35.45,35.66,34.37,34.5,61913
0,1386,20.4,20.88,20.4,20.71,305
0,1387,7.7,8.2,7.7,8.2,2000
0,1388,12.52,12.76,12.52,12.76,1000
0,1389,22.4,22.4,22.4,22.4,125
0,1390,38.9504,41.0879,38.8934,39.6629,69932
0,1391,14,14.6,13.95,14.19,7596
0,1392,15.6,17,14.7,15.85,83327
0,1393,3.2295,3.2295,3.2084,3.2084,40
0,1394,31.7718,32.4836,31.06,31.1381,14770
0,1395,1.9397,1.9397,1.9397,1.9397,709
0,1396,4.5966,4.5966,4.5297,4.5297,847
0,1397,104.8493,106.487,103.1535,103.4442,49690
0,1398,336,336,336,336,0
0,1399,15.556,15.7367,15.2705,15.4037,1774
0,1400,15.25,15.635,15.25,15.46,3410
0,1401,11.345,11.39,11.215,11.215,2946
0,1402,11.14,11.14,11.14,11.14,0
0,1403,19.1,20,18.9,19.6,6735
0,1404,353.8733,357.8052,353.8733,357.8052,199
0,1405,14.6,15.3,14.6,15.3,372
0,1406,4.25,4.62,4.25,4.35,7618
0,1407,12.7479,12.7479,12.7479,12.7479,0
0,1408,1014.1494,1085.2414,1014.1494,1067.8311,264
0,1409,1.809,1.809,1.809,1.809,0
0,1410,20.1,20.5167,20.0333,20.0333,2520
0,1411,1.45,1.47,1.43,1.43,6755
0,1412,34.0406,34.0406,33.635,33.635,72
0,1413,6.75,6.8675,6.65,6.71,3480
0,1414,6.7125,6.725,6.685,6.685,1140
0,1415,13.2,13.45,13.2,13.3,610
0,1416,22.1464,22.1464,22.1464,22.1464,0
0,1417,32,32.5,32,32.5,116
0,1418,55,55.34,52.13,52.13,486
0,1419,7.9213,7.9213,7.9213,7.9213,1
0,1420,24.9133,25.2474,24.9133,25.2474,75
0,1421,5.74,5.74,5.74,5.74,0
0,1422,22,22,22,22,0
0,1423,21,21.14,21,21.14,66
0,1424,8.5,8.6,8.5,8.6,220
0,1425,6285,6322.5,6073.5,6097.5,114
0,1426,19.2,19.37,18.71,18.9,4681
0,1427,3.062,3.062,3.062,3.062,0
0,1428,3.48,3.52,3.47,3.47,2658
0,1429,99.02,104.55,99.02,104.55,6994
0,1430,16.45,16.46,16.14,16.14,7363
0,1431,5.57,5.57,5.55,5.55,80
0,1432,25.26,26.3022,25.26,25.9052,403
0,1433,5.597,5.597,5.597,5.597,0
0,1434,6.52,6.52,6.38,6.45,31133
0,1435,0.6,0.65,0.6,0.65,2670
0,1436,6.5181,6.7184,6.5181,6.6283,7039
0,1437,125,131.5,125,131.5,225
0,1438,14.27,14.27,14.27,14.27,0
0,1439,14.65,15.33,14.65,15.33,100
0,1440,71.1263,76.0845,70.477,71.5099,3915
0,1441,1.81,1.81,1.75,1.75,295
0,1442,38.65,39.65,38.24,38.5,66700
0,1443,2.42,2.5,2.42,2.47,5000
0,1444,11.75,12.66,11.59,11.7,14925
0,1445,0.06,0.06,0.06,0.06,12286
0,1446,11.98,11.98,11.98,11.98,0
0,1447,1.3164,1.3164,1.3164,1.3164,0
0,1448,17,17,17,17,160
0,1449,19,19.2,18.52,18.53,9358
0,1450,3.9,3.9,3.67,3.67,560
0,1451,29.28,29.28,29.28,29.28,179
0,1452,2.78,2.78,2.78,2.78,0
0,1453,3.2263,3.3159,3.2263,3.3159,56
0,1454,25.7,25.7,25.69,25.7,65
0,1455,0.13,0.135,0.13,0.135,40000
0,1456,1.6829,1.7462,1.6376,1.7462,13041
0,1457,16.55,16.78,16.32,16.32,6471
0,1458,13.1353,13.5365,13.1353,13.3294,734
0,1459,0.8,0.84,0.79,0.839,42040
0,1460,25.2576,25.2576,25.2576,25.2576,77
0,1461,7.0308,7.0833,7.0308,7.0417,780
0,1462,11.7813,11.8589,11.6456,11.8589,343
0,1463,9,9,9,9,50
0,1464,3.6,3.81,3.55,3.55,3626
0,1465,3.2119,3.2119,3.2119,3.2119,0
0,1466,12.4,12.51,12.36,12.36,620
0,1467,27.2674,27.2674,27.2674,27.2674,0
0,1468,2.456,2.5145,2.4365,2.4462,76532
0,1469,78.339,78.4263,77.1353,77.7274,281
0,1470,153.0338,154.7419,151.8194,151.9478,6486
0,1471,100.1695,100.1695,97.9229,100.1695,3565
0,1472,1.1667,1.1667,1.1667,1.1667,0
0,1473,17.3048,17.5631,17.3048,17.4598,278
0,1474,6.13,6.13,6.13,6.13,0
0,1475,1.8,1.8,1.8,1.8,0
0,1476,15.2,15.25,14.68,14.68,8030
0,1477,597.9451,634.0846,597.9451,624.2284,3
0,1478,197.5,198.63,194.9,195.16,1876
0,1479,0.8632,0.8915,0.7925,0.7925,1074
0,1480,9.224,9.36,9.208,9.24,6741
0,1481,4.2903,4.2903,3.8902,3.8902,6262
0,1482,18.78,18.78,18.78,18.78,0
0,1483,2.5734,2.5734,2.5734,2.5734,0
0,1484,27.2114,27.2114,26.506,26.803,835
0,1485,19.6733,21.58,19.6733,21.58,29
0,1486,11.2,11.48,11.2,11.29,200
0,1487,0.04,0.047,0.04,0.047,27500
0,1488,17.37,17.37,17.37,17.37,0
0,1489,17.14,17.18,17.05,17.18,819
0,1490,19.1788,19.2287,19.1788,19.2287,400
0,1491,500,500,500,500,0
0,1492,0.47,0.47,0.47,0.47,1000
0,1493,4.5636,4.5636,4.5636,4.5636,0
0,1494,0.4,0.4,0.4,0.4,0
0,1495,13.2283,13.2283,13.2283,13.2283,0
0,1496,4.49,4.93,4.49,4.93,1700
0,1497,33.55,34.6,33.26,34.15,1942
0,1498,29.35,29.67,28.87,28.87,5651
0,1499,28.3333,29.4833,28.3167,28.4167,5994
1,1000,5.5886,5.5886,5.3498,5.3498,7508
1,1001,6.43,6.43,6.43,6.43,0
1,1002,20.098,20.2059,20.049,20.049,3288
1,1003,5.99,5.99,5.99,5.99,0
1,1004,0.08,0.08,0.075,0.075,32519
1,1005,39.03,39.03,39.03,39.03,0
1,1006,18.01,18.01,18.01,18.01,0
1,1007,38.1979,39.6917,36.064,36.2774,401
1,1008,26.7,30.47,26.55,30.2,30020
1,1009,4.76,4.85,4.76,4.85,0
1,1010,17.1016,17.9994,17.1016,17.9994,7699
1,1011,6,6,6,6,0
1,1012,38.05,38.1,37.63,38.1,326
1,1013,25.2345,25.2345,24.6586,24.6586,420
1,1014,3.2,3.59,3.2,3.59,1100
1,1015,16.5,16.5,15.88,15.88,163
1,1016,11.55,11.69,11.54,11.68,1550
1,1017,2.6339,2.6339,2.5071,2.5071,308
1,1018,12.55,13.8,12.55,13.67,156611
1,1019,46.89,47.1,46.89,46.95,79
1,1020,3.8179,3.8179,3.7484,3.7484,6
1,1021,44.61,45.1,44.5,44.98,165
1,1022,7.5,7.7,7.5,7.56,1120
1,1023,11.6,11.68,11.6,11.68,900
1,1024,1.3306,1.3306,1.3306,1.3306,0
1,1025,30.37,30.98,30.26,30.98,5679
1,1026,5.6,5.6,5.6,5.6,0
1,1027,49.93,50.42,49.53,50.11,6714
1,1028,3.15,3.15,2.78,2.83,159731
1,1029,8.5,8.58,8.41,8.54,4725
1,1030,12.11,12.11,12.11,12.11,0
1,1031,11.66,11.81,11.6,11.78,7672
1,1032,21.31,21.36,21.01,21.3,10470
1,1033,10.31,10.31,9.84,9.84,133557
1,1034,3.85,3.85,3.81,3.81,70
1,1035,0.7009,0.7727,0.6545,0.7727,3497
1,1036,145.7,146.12,143.6,144.61,17001
1,1037,10.6,10.6,10.6,10.6,0
1,1038,8.25,8.25,8.1,8.1,500
1,1039,10.61,10.9,10.61,10.9,500
1,1040,1.635,1.66,1.605,1.66,4712
1,1041,28.0788,28.6685,28.0788,28.6685,746
1,1042,10,10.09,10,10.04,670
1,1043,48.52,50.5,47.42,50.27,1718
1,1044,3.4457,3.4457,3.3601,3.3601,270
1,1045,12.15,12.2,12.15,12.2,1750
1,1046,13.1172,13.1172,13.1172,13.1172,15
1,1047,50.28,51.135,50.28,50.685,46742
1,1048,60.5128,60.9851,59.942,60.6899,31534
1,1049,7.36,7.36,7.36,7.36,0
1,1050,925,925,925,925,2
1,1051,10.138,10.246,10.138,10.212,4905
1,1052,14,14,13.645,13.645,1588
1,1053,6.72,6.91,6.69,6.8,24656
1,1054,27.95,28,27.6,27.6,698
1,1055,52.23,52.23,50.63,51.1,3111
1,1056,5.54,5.54,5.54,5.54,0
1,1057,116.03,116.98,115.95,115.95,27654
1,1058,20.9,21.4,20.6,21.4,11618
1,1059,12.4951,12.4951,12.4389,12.4389,453
1,1060,11.5366,11.5698,11.5366,11.5698,2707
1,1061,12.73,12.73,12.48,12.48,300
1,1062,26.31,26.31,26.31,26.31,0
1,1063,42.81,43.03,41.97,42.13,20332
1,1064,36.2,36.55,35.76,35.85,2853
1,1065,11.9765,13.9399,11.7802,13.9399,212
1,1066,37.5,38,37.29,37.33,844
1,1067,8.21,8.54,8.18,8.42,18273
1,1068,8.34,8.51,8.34,8.5,22996
1,1069,3.5767,3.5767,3.5767,3.5767,4044
1,1070,6.54,6.57,6.54,6.57,89
1,1071,20.1788,20.1788,18.7642,19.5963,231
1,1072,6.54,6.66,6.54,6.66,707
1,1073,3.66,3.66,3.62,3.62,5000
1,1074,9.54,9.54,9.54,9.54,0
